ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688256.SH,20250915,1009.25,1025.62,946.28,965.67,997.85,-32.180000000000064,-3.22,114491.32,16564077.105
688256.SH,20250916,984.44,1024.68,957.97,965.73,965.67,0.06000000000005912,0.01,136802.74,20074698.247
688256.SH,20250917,947.76,985.8,920.23,967.01,965.73,1.2799999999999727,0.13,98617.47,14146955.67
688256.SH,20250918,1011.27,1017.97,926.17,952.92,967.01,-14.090000000000032,-1.46,171994.85,25149758.553
688256.SH,20250919,933.48,952.25,899.95,904.8,952.92,-48.120000000000005,-5.05,126552.24,17405922.549
688256.SH,20250922,890.55,958.89,872.45,937.5,904.8,32.700000000000045,3.61,134359.68,18462164.26
688256.SH,20250923,938.84,955.61,880.72,905.57,937.5,-31.92999999999995,-3.41,128180.62,17429935.879
688256.SH,20250924,891.9,938.84,891.9,921.41,905.57,15.839999999999918,1.75,100897.18,13721388.643
688256.SH,20250925,918.31,948.89,905.31,929.92,921.41,8.509999999999991,0.92,90301.12,12516091.788
688256.SH,20250926,915.37,932.14,894.58,897.93,929.92,-31.99000000000001,-3.44,75520.99,10227301.335
688256.SH,20250929,885.19,897.92,852.33,887.54,897.93,-10.389999999999986,-1.16,90298.05,11815948.745
688256.SH,20250930,930.79,938.17,884.01,888.55,887.54,1.009999999999991,0.11,86539.81,11699849.21
688256.SH,20251009,912.35,942.82,893.24,893.77,888.55,5.220000000000027,0.59,118338.23,16137619.926
688256.SH,20251010,873.12,874.67,832.21,836.29,893.77,-57.48000000000002,-6.43,108213.0,13767648.794
688256.SH,20251013,811.43,857.03,811.43,846.37,836.29,10.080000000000041,1.21,87752.78,11019557.222
688256.SH,20251014,853.0,853.0,798.02,802.04,846.37,-44.33000000000004,-5.24,105876.0,12861254.895
688256.SH,20251015,810.09,836.23,798.02,832.89,802.04,30.850000000000023,3.85,70806.98,8637499.885
688256.SH,20251016,844.96,877.12,844.96,854.35,832.89,21.460000000000036,2.58,96667.9,12409422.159
688256.SH,20251017,841.57,864.59,816.95,836.7,854.35,-17.649999999999977,-2.07,84813.74,10607162.139
688256.SH,20251020,853.75,894.55,832.55,859.12,836.7,22.41999999999996,2.68,128071.07,16518765.341
688256.SH,20251021,859.12,924.09,834.9,918.03,859.12,58.90999999999997,6.86,146125.63,19240518.795
688256.SH,20251022,899.28,984.44,897.93,958.62,918.03,40.59000000000003,4.42,141335.62,19814513.226
688256.SH,20251023,944.88,950.24,915.37,938.1,958.62,-20.519999999999982,-2.14,79242.08,11008098.775
688256.SH,20251024,955.61,1038.09,941.52,1022.67,938.1,84.56999999999994,9.02,159565.6,23402505.412
688256.SH,20251027,1046.14,1046.14,1001.21,1026.48,1022.67,3.810000000000059,0.37,122356.06,18757215.645
688256.SH,20251028,1009.25,1028.56,977.07,991.54,1026.48,-34.940000000000055,-3.4,104310.9,15591302.965
688256.SH,20251029,979.08,1026.61,960.97,979.75,991.54,-11.789999999999964,-1.19,101228.54,14915634.309
688256.SH,20251030,965.67,1005.87,938.85,953.59,979.75,-26.159999999999968,-2.67,117364.77,16889724.409
688256.SH,20251031,944.18,948.23,922.08,922.08,953.59,-31.50999999999999,-3.3,85167.38,11831070.79
688256.SH,20251103,895.25,912.46,895.25,903.03,922.08,-19.050000000000068,-2.07,63788.88,8590648.848
688256.SH,20251104,918.72,932.71,889.22,898.34,903.03,-4.689999999999941,-0.52,71501.62,9736393.898
688256.SH,20251105,868.43,915.37,865.82,903.97,898.34,5.6299999999999955,0.63,67698.87,9005687.036
688256.SH,20251106,929.45,993.08,919.55,992.49,903.97,88.51999999999998,9.79,134785.95,19250016.672
688256.SH,20251107,976.09,985.03,959.01,960.64,992.49,-31.850000000000023,-3.21,66444.28,9618929.569
688256.SH,20251110,958.98,972.37,896.6,933.14,960.64,-27.5,-2.86,89348.59,12282433.932
688256.SH,20251111,937.5,940.85,871.18,891.9,933.14,-41.24000000000001,-4.42,90176.81,12109374.239
688256.SH,20251112,879.83,922.08,877.15,915.89,891.9,23.99000000000001,2.69,67212.32,9031583.735
688256.SH,20251113,906.65,930.12,891.23,928.72,915.89,12.830000000000041,1.4,61507.83,8363426.246
688256.SH,20251114,905.31,915.46,888.08,888.55,928.72,-40.17000000000007,-4.33,62737.92,8403397.057
688256.SH,20251117,883.15,899.95,860.64,873.86,888.55,-14.68999999999994,-1.65,67492.79,8840817.365
688256.SH,20251118,875.77,901.58,865.74,889.69,873.86,15.830000000000041,1.81,60034.36,7979099.417
688256.SH,20251119,885.19,905.31,885.19,893.24,889.69,3.5499999999999545,0.4,42413.04,5664290.197
688256.SH,20251120,912.69,915.76,885.19,886.74,893.24,-6.5,-0.73,38874.85,5185546.03
