trade_date,close,MA5,MA10,MA20,MA60,MA120,RSI,DIF,DEA,MACD,BB_MID,BB_UPPER,BB_LOWER,BB_WIDTH
2025-08-12,848.8800,729.2840,711.3780,664.6895,,,77.8103,46.4838,35.7633,21.4409,664.6895,800.2065,529.1725,40.7760
2025-08-13,860.0000,762.4160,728.9080,678.6800,,,78.6081,55.2747,39.6656,31.2182,678.6800,833.8196,523.5404,45.7180
2025-08-14,949.0000,811.6160,752.8580,697.0100,,,83.6689,68.6319,45.4589,46.3461,697.0100,886.9727,507.0473,54.5079
2025-08-15,923.7000,857.7960,776.3180,714.0640,,,78.0185,76.2967,51.6264,49.3404,714.0640,921.2477,506.8803,58.0295
2025-08-18,950.0000,906.3160,802.4120,732.4640,,,79.5635,83.5303,58.0072,51.0462,732.4640,955.0554,509.8726,60.7788
2025-08-19,933.9800,923.3360,826.3100,749.4665,,,76.0567,86.9678,63.7993,46.3370,749.4665,979.3329,519.6001,61.3413
2025-08-20,1013.0000,953.9360,858.1760,770.3385,,,80.5991,94.9735,70.0342,49.8788,770.3385,1016.5875,524.0895,63.9327
2025-08-21,1036.0000,971.3360,891.4760,792.1270,,,81.6880,101.9983,76.4270,51.1426,792.1270,1051.7532,532.5008,65.5517
2025-08-22,1243.2000,1035.2360,946.5160,820.6220,,,88.1441,122.8684,85.7153,74.3062,820.6220,1142.8789,498.3651,78.5397
2025-08-25,1384.9300,1122.2220,1014.2690,855.9185,,,90.5884,149.1255,98.3973,101.4564,855.9185,1257.6922,454.1448,93.8813
2025-08-26,1329.0000,1201.2260,1062.2810,886.8295,,,83.2907,163.5362,111.4251,104.2222,886.8295,1334.1340,439.5250,100.8772
2025-08-27,1372.1000,1273.0460,1113.4910,921.1995,,,84.3378,176.4012,124.4203,103.9617,921.1995,1407.0826,435.3164,105.4892
2025-08-28,1587.9100,1383.4280,1177.3820,965.1200,,,88.2935,201.6859,139.8734,123.6250,965.1200,1523.7833,406.4567,115.7707
2025-08-29,1492.4900,1433.2860,1234.2610,1005.2895,,,78.8151,211.5856,154.2159,114.7395,1005.2895,1595.0544,415.5246,117.3324
2025-09-01,1448.3900,1445.9780,1284.1000,1043.2560,,,74.8175,213.4126,166.0552,94.7148,1043.2560,1644.9493,441.5627,115.3491
2025-09-02,1480.0000,1476.1780,1338.7020,1082.5060,,,75.7663,214.9336,175.8309,78.2054,1082.5060,1690.9237,474.0883,112.4091
